"Name","R/O","Description","Possible Settings"
"FileCode","R","Two-letter site identification code (e.g. He, Sc, Kc).",""
"FileInputPath","R","Input directory.",""
"FileOutputPath","R","Output directory.",""
"MultipleMetFiles","R","Specifies whether one single meteorological forcing file is used for all grids or a separate met file is provided for each grid.","
.. csv-table::
  :file: MultipleMetFiles.csv 
  :header-rows: 1
  :widths: auto
"
"MultipleInitFiles","R","Specifies whether one single initial conditions file is used for all grids at the start of the run or a separate initial conditions file is provided for each grid.","
.. csv-table::
  :file: MultipleInitFiles.csv 
  :header-rows: 1
  :widths: auto
"
"MultipleESTMFiles","O","Specifies whether one single ESTM forcing file is used for all grids or a separate file is provided for each grid.","
.. csv-table::
  :file: MultipleESTMFiles.csv 
  :header-rows: 1
  :widths: auto
"
"KeepTstepFilesIn","O","Specifies whether input meteorological forcing files at the resolution of the model time step should be saved.","
.. csv-table::
  :file: KeepTstepFilesIn.csv 
  :header-rows: 1
  :widths: auto
"
"KeepTstepFilesOut","O","Specifies whether output meteorological forcing files at the resolution of the model time step should be saved.","
.. csv-table::
  :file: KeepTstepFilesOut.csv 
  :header-rows: 1
  :widths: auto
"
"WriteOutOption","O","Specifies which variables are written in the output files.","
.. csv-table::
  :file: WriteOutOption.csv 
  :header-rows: 1
  :widths: auto
"
"SuppressWarnings","O","Controls whether the warnings.txt file is written or not.","
.. csv-table::
  :file: SuppressWarnings.csv 
  :header-rows: 1
  :widths: auto
"
